sample_id	Chromosome	Start_Position	Rating	Mean_Rating	All_Rating
Reddy_2453T	12	11803087	4	4	4
Reddy_2948T	12	11803087	4	4	4
Reddy_3675T	12	11803087	2	2	2
Reddy_3559T	12	11905459	3	3	3
Reddy_2838T	12	11992091	4	4	4
Reddy_2915T	12	11992106	3	3	3
Reddy_2948T	12	11992222	5	5	5
Reddy_799T	12	12006361	4	4	4
Reddy_3602T	12	12006363	4	4	4
Reddy_3609T	12	12022454	4	4	4
Reddy_2792T	12	12022759	4	4	4
Reddy_2948T	12	12022766	5	5	5
Reddy_2767T	12	12037474	3	3	3
Reddy_3476T	12	12037474	4	4	4
Reddy_3674T	12	12037493	4	4	4
Reddy_3732T	12	12037507	3	3	3
Reddy_2226T	12	12037510	3	3	3
Reddy_3888T	12	12037511	3	3	3
Reddy_2639T	12	12043913	4	4	4
Reddy_2145T	12	122242739	3	3	3
Reddy_2159T	12	122242739	3	3	3
Reddy_3545T	12	122243060	3	3	3
Reddy_2840T	12	122243753	3	3	3
Reddy_2120T	12	122243795	3	3	3
Reddy_2488T	12	122243799	4	4	4
Reddy_3716T	12	122243813	4	4	4
Reddy_2634T	12	122243844	3	3	3
Reddy_2707T	12	122243976	4	4	4
Reddy_3837T	12	122246122	3	3	3
Reddy_2830T	12	122248481	4	4	4
Reddy_2079T	12	122255742	4	4	4
Reddy_3932T	12	122260845	3	3	3
Reddy_2698T	12	122265480	3	3	3
Reddy_2103T	12	122265926	5	5	5
Reddy_2550T	12	122265950	3	3	3
Reddy_2792T	12	122265950	4	4	4
Reddy_3732T	12	122265951	4	4	4
Reddy_3905T	12	122265951	3	3	3
Reddy_790T	12	122268074	3	3	3
Reddy_3631T	12	122268047	3	3	3
Reddy_2522T	12	122268071	4	4	4
Reddy_3924T	12	122459998	3	3	3
Reddy_705T	12	122460029	2	2	2
Reddy_3835T	12	122459998	3	4	3,5
Reddy_2533T	12	122459999	5	5	5
Reddy_2575T	12	122459999	4	4	4
Reddy_3835T	12	122459999	4	4	4
Reddy_2998T	12	122460001	3	3	3
Reddy_2530T	12	122460005	4	4	4
Reddy_3617T	12	122460007	2	2	2
Reddy_3815T	12	122460016	3	3	3
Reddy_2211T	12	122460028	3	3	3
Reddy_2882T	12	122460028	3	3	3
Reddy_2475T	12	122460029	5	5	5
Reddy_2241T	12	122460030	4	4	4
Reddy_3464T	12	122460034	5	5	5
Reddy_2933T	12	122460041	4	4	4
Reddy_2475T	12	122460043	5	5	5
Reddy_3778T	12	122460046	2	2	2
Reddy_2077T	12	122460048	4	4	4
Reddy_2606T	12	122460049	3	3	3
Reddy_3561T	12	122460049	4	4	4
Reddy_2669T	12	122460052	3	3	3
Reddy_2619T	12	122460059	2	2	2
Reddy_2047T	12	122460061	4	4	4
Reddy_2918T	12	122460079	4	4	4
Reddy_3833T	12	122460080	4	4	4
Reddy_2241T	12	122460082	3	3	3
Reddy_3666T	12	122460082	4	4	4
Reddy_3856T	12	122460082	5	5	5
Reddy_2533T	12	122460086	4	4	4
Reddy_2707T	12	122460088	3	3	3,3
Reddy_2120T	12	122460089	3	3	3,3
Reddy_2542T	12	122468643	3	3	3,3
Reddy_2528T	12	122497013	4	4	4
Reddy_3639T	12	25380210	3	3	3
Reddy_3480T	12	25398251	4	4	4
Reddy_2120T	12	25398255	4	4	4
Reddy_3467T	12	25398255	4	4	4
Reddy_2599T	12	25398281	3	3	3
Reddy_2657T	12	25398281	3	3	3
Reddy_3582T	12	25398281	2	2	2
Reddy_2248T	12	25398284	2	2	2,2
Reddy_2487T	12	25398284	5	5	5
Reddy_2556T	12	25398302	4	4	4
Reddy_3450T	12	49415587	3	3	3
Reddy_2605T	12	49416063	3	3	3
Reddy_2901T	12	49416089	2	2	2
Reddy_3924T	12	49416500	3	3	3
Reddy_2146T	12	49416474	3	3	3
Reddy_3528T	12	49416474	3	3	3
Reddy_2879T	12	49416475	4	4	4
Reddy_3439T	12	49416531	4	4	4
Reddy_3828T	12	49418601	4	4	4
Reddy_2485T	12	49418649	4	4	4
Reddy_2303T	12	49418670	3	3	3
Reddy_3930T	12	49420352	3	3	3
Reddy_2106T	12	49420288	4	4	4
Reddy_2677T	12	49420288	4	4	4
Reddy_2889T	12	49420288	4	4	4
Reddy_2608T	12	49420350	5	5	5
Reddy_2677T	12	49420582	3	3	3
Reddy_3440T	12	49420606	3	3	3
Reddy_2952T	12	49420654	3	3	3
Reddy_2044T	12	49420670	3	3	3
Reddy_2147T	12	49420678	5	5	5
Reddy_2160T	12	49420678	3	3	3
Reddy_3388T	12	49420688	4	4	4
Reddy_3923T	12	49420871	3	3	3
Reddy_2948T	12	49420803	3	3	3
Reddy_3459T	12	49420804	3	3	3
Reddy_2881T	12	49421029	3	3	3
Reddy_3680T	12	49421039	3	3	3
Reddy_2274T	12	49421597	4	4	4
Reddy_2719T	12	49421651	5	5	5
Reddy_3694T	12	49421662	4	4	4
Reddy_3503T	12	49421875	2	2	2
Reddy_3914T	12	49424098	3	3	3
Reddy_2952T	12	49424788	3	3	3
Reddy_3661T	12	49425038	3	3	3
Reddy_3733T	12	49425164	3	3	3
Reddy_3549T	12	49425398	3	3	3
Reddy_2463T	12	49425640	3	3	3
Reddy_2792T	12	49425644	3	3	3
Reddy_3983T	12	49425806	4	4	4
Reddy_2585T	12	49425758	4	4	4
Reddy_2790T	12	49425800	4	4	4
Reddy_2120T	12	49426508	4	4	4
Reddy_2199T	12	49426589	3	3	3
Reddy_2157T	12	49426907	3	3	3
Reddy_2076T	12	49426961	4	4	4
Reddy_3508T	12	49426973	3	3	3
Reddy_2076T	12	49427261	3	3	3
Reddy_2692T	12	49427303	3	3	3
Reddy_3556T	12	49427360	4	4	4
Reddy_3819T	12	49427437	3	3	3
Reddy_2812T	12	49427522	3	3	3
Reddy_3438T	12	49427588	3	3	3
Reddy_2111T	12	49427684	4	4	4
Reddy_3923T	12	49427984	3	3	3
Reddy_3463T	12	49428235	3	3	3
Reddy_2476T	12	49428389	3	3	3
Reddy_702T	12	49431004	3	3	3
Reddy_2899T	12	49430956	4	4	4
Reddy_2567T	12	49431006	3	3	3
Reddy_3765T	12	49431031	4	4	4
Reddy_3733T	12	49431208	3	3	3
Reddy_3893T	12	49431316	3	3	3
Reddy_2872T	12	49431357	3	3	3
Reddy_2530T	12	49431379	5	5	5
Reddy_3915T	12	49431843	3	3	3
Reddy_2662T	12	49431892	3	3	3
Reddy_2650T	12	49432447	2	2	2
Reddy_3978T	12	49432693	2	2	2
Reddy_3729T	12	49432669	3	3	3
Reddy_3447T	12	49432686	3	3	3
Reddy_2765T	12	49433036	4	4	4
Reddy_2823T	12	49433059	4	4	4
Reddy_2646T	12	49433388	3	3	3
Reddy_3632T	12	49433394	3	3	3
Reddy_3639T	12	49433394	3	3	3
Reddy_2827T	12	49433397	4	4	4
Reddy_2100T	12	49433620	3	3	3
Reddy_2714T	12	49433649	3	3	3
Reddy_2646T	12	49433650	4	4	4
Reddy_2479T	12	49434541	4	4	4
Reddy_1008T	12	49434595	4	4	4
Reddy_2831T	12	49434634	4	4	4
Reddy_3946T	12	49434849	3	3	3
Reddy_3538T	12	49434806	4	4	4
Reddy_2150T	12	49435756	3	3	3
Reddy_2945T	12	49435893	3	3	3
Reddy_3849T	12	49436416	4	4	4
Reddy_2236T	12	49436599	4	4	4
Reddy_3759T	12	49436629	3	3	3
Reddy_2688T	12	49437746	3	3	3
Reddy_2203T	12	49439859	3	3	3
Reddy_2903T	12	49439882	3	3	3
Reddy_2619T	12	49439955	3	3	3
Reddy_2585T	12	49440062	4	4	4
Reddy_2478T	12	49440153	3	3	3
Reddy_3848T	12	49440195	3	3	3
Reddy_2777T	12	49440525	3	3	3
Reddy_2475T	12	49441809	3	3	3
Reddy_2573T	12	49443611	2	2	2
Reddy_2203T	12	49443617	3	3	3
Reddy_3981T	12	49443806	3	3	3
Reddy_2956T	12	49444079	3	3	3
Reddy_2120T	12	49444091	4	4	4
Reddy_3843T	12	49444172	4	4	4
Reddy_3943T	12	49444248	3	3	3
Reddy_813T	12	49444810	4	4	4
Reddy_2923T	12	49444849	2	2	2
Reddy_3924T	12	49444989	4	4	4
Reddy_3716T	12	49444915	4	4	4
Reddy_2204T	12	49445095	4	4	4
Reddy_2603T	12	49445116	4	4	4
Reddy_3873T	12	49445707	4	4	4
Reddy_2778T	12	49445878	4	4	4
Reddy_3992T	12	49446404	3	3	3
Reddy_2716T	12	49446355	4	4	4
Reddy_3729T	12	49446744	3	3	3
Reddy_3422T	12	49446772	4	4	4
Reddy_3833T	12	49447295	3	3	3
Reddy_3728T	12	49447345	3	3	3
Reddy_3618T	12	49448496	4	4	4
Reddy_2158T	12	57492817	2	2	2
Reddy_3459T	12	57492817	4	4	4
Reddy_3474T	12	57492825	4	4	4
Reddy_3835T	12	57492825	3	3	3
Reddy_2669T	12	57493818	3	3	3
Reddy_2233T	12	57493831	4	4	4
Reddy_2775T	12	57493831	3	3	3
Reddy_2554T	12	57496654	4	4	4
Reddy_2468T	12	57496661	3	3	3
Reddy_2823T	12	57496661	4	4	4
Reddy_3822T	12	57496661	3	3	3
Reddy_3851T	12	57496661	3	3	3
Reddy_2475T	12	57496662	4	4	4
Reddy_2485T	12	57496662	3	3	3
Reddy_3600T	12	57496662	3	3	3
Reddy_2127T	12	57496668	2	2	2
Reddy_2764T	12	57496668	3	3	3
Reddy_2768T	12	57496668	2	2	2
Reddy_2918T	12	57496668	2	2	2
Reddy_3459T	12	57498329	3	3	3
Reddy_2473T	12	57498330	4	4	4
Reddy_2552T	12	57498330	3	3	3
Reddy_2678T	12	57498330	4	4	4
Reddy_2613T	12	57498345	4	4	4
Reddy_2163T	12	57499000	3	3	3
Reddy_2199T	12	57499078	4	4	4
Reddy_3555T	12	57499078	4	4	4
Reddy_3989T	12	57499284	4	4	4
Reddy_2881T	12	57499303	4	4	4
Reddy_3865T	12	57500103	2	2	2
Reddy_3867T	12	57500103	2	2	2
Reddy_3669T	12	7060683	5	5	5
Reddy_3873T	12	7060783	5	5	5
Reddy_2950T	12	7060840	4	4	4
Reddy_2543T	12	7061160	4	4	4
Reddy_2201T	12	7061189	3	3	3
Reddy_2950T	12	7061258	3	3	3
Reddy_2543T	12	7061330	4	4	4
Reddy_3485T	12	7064048	3	3	3
Reddy_2792T	12	7064089	5	5	5
Reddy_3918T	12	7064629	4	4	4
Reddy_3977T	12	7064629	3	3	3
Reddy_2617T	12	7065679	4	4	4
Reddy_689T	12	7067113	3	3	3
Reddy_3671T	12	7069269	4	4	4
Reddy_3944T	12	7069370	3	3	3
Reddy_2523T	12	7069304	4	4	4
Reddy_2720T	12	7069335	3	3	3
Reddy_3765T	12	7069586	5	5	5
Reddy_3408T	12	7070007	4	4	4
Reddy_2905T	12	92537876	3	3	3
Reddy_3834T	12	92537942	3	3	3
Reddy_3385T	12	92537960	3	3	3
Reddy_2952T	12	92537974	3	3	3
Reddy_690T	12	92538061	3	3	3
Reddy_2580T	12	92538010	4	4	4
Reddy_3832T	12	92538029	3	3	3
Reddy_3932T	12	92538173	4	4	4
Reddy_3757T	12	92538121	4	4	4
Reddy_3637T	12	92538164	5	5	5
Reddy_2828T	12	92538166	4	4	4
Reddy_2956T	12	92538175	3	3	3
Reddy_2081T	12	92538182	3	3	3
Reddy_2952T	12	92538191	3	3	3
Reddy_2482T	12	92538204	4	4	4
Reddy_2529T	12	92538212	4	4	4
Reddy_3708T	12	92538220	4	4	4
Reddy_3669T	12	92539178	3	3	3
Reddy_2897T	12	92539179	3	3	3
Reddy_2933T	12	92539179	3	3	3
Reddy_3992T	12	92539257	4	4	4
Reddy_2698T	12	92539184	3	3	3
Reddy_3776T	12	92539184	3	3	3
Reddy_2081T	12	92539196	3	3	3
Reddy_2788T	12	92539214	3	3	3
Reddy_3816T	12	92539223	3	3	3
Reddy_2952T	12	92539224	3	3	3
Reddy_3717T	12	92539235	3	3	3
Reddy_3826T	12	92539259	4	4	4
Reddy_3476T	12	92539260	3	3	3
Reddy_2487T	12	92539270	3	3	3
Reddy_3785T	12	92539270	4	4	4
Reddy_2081T	12	92539279	3	3	3
Reddy_2952T	12	92539279	0	0	0
Reddy_2952T	12	92539304	4	4	4
Reddy_3778T	12	92539304	3	3	3
Reddy_3669T	12	92539308	4	4	4
Reddy_3566T	13	41133892	3	3	3
Reddy_2838T	13	41134111	4	4	4
Reddy_2808T	13	41134319	4	4	4
Reddy_2901T	13	41239782	3	3	3
Reddy_3485T	13	41239836	2	2	2
Reddy_2541T	13	41239893	2	2	2
Reddy_2237T	13	41240273	4	4	4
Reddy_2237T	13	41240286	4	4	4
Reddy_3873T	13	41240286	3	3	3
Reddy_2554T	13	41240288	3	3	3
Reddy_2302T	13	48951063	3	3	3
Reddy_3482T	13	49027168	4	4	4
Reddy_3729T	13	49030374	4	4	4
Reddy_3849T	13	49033844	4	4	4
Reddy_2887T	13	49039470	5	5	5
Reddy_2948T	13	49039483	5	5	5
Reddy_3506T	14	100705968	3	3	3
Reddy_3481T	14	100706023	3	3	3
Reddy_3846T	14	100742855	3	3	3
Reddy_3883T	14	100743788	3	3	3
Reddy_2554T	14	100743889	3	3	3
Reddy_3727T	14	100743912	4	4	4
Reddy_2450T	14	21861729	4	4	4
Reddy_2709T	14	21861980	5	5	5
Reddy_2142T	14	21862046	5	5	5
Reddy_2293T	14	21863089	4	4	4
Reddy_3628T	14	21863128	4	4	4
Reddy_3548T	14	21863171	4	4	4
Reddy_3730T	14	21863171	4	4	4
Reddy_2779T	14	21867863	4	4	4
Reddy_2713T	14	21869230	4	4	4
Reddy_3669T	14	21870160	4	4	4
Reddy_2664T	14	21870168	4	4	4
Reddy_2534T	14	21870190	4	4	4
Reddy_2680T	14	21871744	4	4	4
Reddy_2680T	14	21871753	4	4	4
Reddy_2779T	14	21876961	4	4	4
Reddy_3923T	14	21883958	3	3	3
Reddy_3655T	14	21896178	5	5	5
Reddy_2827T	14	35871655	4	4	4
Reddy_3721T	14	35871710	3	3	3
Reddy_2827T	14	35871868	3	3	3
Reddy_3664T	14	35871988	3	3	3
Reddy_2208T	14	35873646	4	4	4
Reddy_2608T	14	35873646	3	3	3
Reddy_2699T	14	35873646	4	4	4
Reddy_2816T	14	35873646	3	3	3
Reddy_2827T	14	35873646	3	3	3
Reddy_3684T	14	35873646	3	3	3
Reddy_3837T	14	35873646	3	3	3
Reddy_2153T	14	35873649	3	3	3
Reddy_2483T	14	35873649	3	3	3
Reddy_3709T	14	35873649	2	2	2
Reddy_2709T	14	35873653	4	4	4
Reddy_3481T	14	35873653	3	3	3
Reddy_3580T	14	35873654	3	3	3
Reddy_2487T	14	35873658	3	3	3
Reddy_2249T	14	35873703	3	3	3
Reddy_2616T	14	35873703	3	3	3
Reddy_2764T	14	35873703	4	4	4
Reddy_3709T	14	35873703	3	3	3
Reddy_2827T	14	35873721	3	3	3
Reddy_2996T	14	35873721	3	3	3
Reddy_3725T	14	35873721	4	4	4
Reddy_3737T	14	35873721	3	3	3
Reddy_3823T	14	93264089	5	5	5
Reddy_2936T	14	93264112	4	4	4
Reddy_3432T	14	93264122	4	4	4
Reddy_2143T	14	93276607	4	4	4
Reddy_2950T	14	93286137	5	5	5
Reddy_2640T	14	93299632	4	4	4
Reddy_2829T	14	93299632	4	4	4
Reddy_3390T	14	93299670	4	4	4
Reddy_3609T	14	95562416	3	3	3
Reddy_3932T	14	95572101	3	3	3
Reddy_2115T	14	95572378	4	4	4
Reddy_3896T	14	96178121	3	3	3
Reddy_3816T	14	96178634	3	3	3
Reddy_2262T	14	96180289	3	3	3
Reddy_2709T	14	96180291	3	3	3
Reddy_2836T	14	96180293	4	4	4
Reddy_2073T	14	96180300	3	3	3
Reddy_3504T	14	96180313	3	3	3
Reddy_2084T	14	96180327	3	3	3
Reddy_3504T	14	96180327	3	3	3
Reddy_2477T	14	96180331	4	4	4
Reddy_2709T	14	96180333	3	3	3
Reddy_2632T	14	96180366	4	4	4
Reddy_2148T	15	41280108	4	4	4
Reddy_2622T	15	41289776	4	4	4
Reddy_2838T	15	41313287	4	4	4
Reddy_2233T	15	41348834	4	4	4
Reddy_2949T	15	41362721	3	3	3
Reddy_3733T	15	41365642	5	5	5
Reddy_3500T	15	41366748	4	4	4
Reddy_3895T	15	41371901	4	4	4
Reddy_2106T	15	41387980	4	4	4
Reddy_3407T	15	41961355	4	4	4
Reddy_3834T	15	41961810	4	4	4
Reddy_3691T	15	41961945	5	5	5
Reddy_3618T	15	41988290	4	4	4
Reddy_3896T	15	41988827	4	4	4
Reddy_2471T	15	41989112	4	4	4
Reddy_3616T	15	42003075	4	4	4
Reddy_2300T	15	42003279	5	5	5
Reddy_2808T	15	42003413	5	5	5
Reddy_2805T	15	42005461	3	3	3
Reddy_2141T	15	42019518	4	4	4
Reddy_2161T	15	42019518	5	5	5
Reddy_2093T	15	42019597	4	4	4
Reddy_2152T	15	42019597	5	5	5
Reddy_2706T	15	42028437	4	4	4
Reddy_2681T	15	42032291	4	4	4
Reddy_2837T	15	42041066	4	4	4
Reddy_3617T	15	42052572	4	4	4
Reddy_3476T	15	42052636	5	5	5
Reddy_2820T	15	42053975	4	4	4
Reddy_2895T	15	42058276	4	4	4
Reddy_2555T	15	42058277	4	4	4
Reddy_3519T	15	42058561	3	3	3
Reddy_2191T	15	42059135	4	4	4
Reddy_3904T	15	42059339	4	4	4
Reddy_648T	15	45003745	3	3	3,3
Reddy_2278T	15	45003745	5	5	5
Reddy_2681T	15	45003745	5	5	5
Reddy_3893T	15	45003745	4	4	4
Reddy_2152T	15	45003746	4	4	4
Reddy_2217T	15	45003746	4	4	4
Reddy_2302T	15	45003746	4	4	4
Reddy_2834T	15	45003746	4	4	4
Reddy_3388T	15	45003746	4	4	4
Reddy_3474T	15	45003746	4	4	4
Reddy_3684T	15	45003746	4	4	4
Reddy_3718T	15	45003746	4	4	4
Reddy_2233T	15	45003747	4	4	4
Reddy_3417T	15	45003747	4	4	4
Reddy_3474T	15	45003748	4	4	4
Reddy_3893T	15	45003751	4	4	4
Reddy_3628T	15	45003761	4	4	4
Reddy_3639T	15	45003761	4	4	4
Reddy_2200T	15	45003764	3	3	3
Reddy_2208T	15	45003764	4	4	4
Reddy_2626T	15	45003764	4	4	4
Reddy_2662T	15	45003764	4	4	4
Reddy_3759T	15	45003764	3	3	3
Reddy_3898T	15	45003764	3	3	3
Reddy_3628T	15	45003766	4	4	4
Reddy_3549T	15	45003770	4	4	4
Reddy_3881T	15	45003770	4	4	4
Reddy_2073T	15	45003773	4	4	4
Reddy_3628T	15	45003773	4	4	4
Reddy_3856T	15	45003773	4	4	4
Reddy_3409T	15	45003779	5	5	5
Reddy_3561T	15	45003779	4	4	4
Reddy_3704T	15	45003779	3	3	3
Reddy_799T	15	45007684	4	4	4
Reddy_3939T	15	45007738	3	3	3
Reddy_2545T	15	45007686	4	4	4
Reddy_2545T	15	45007693	4	4	4
Reddy_3462T	15	45007707	4	4	4
Reddy_2841T	15	45007721	5	5	5
Reddy_2570T	15	45007729	4	4	4
Reddy_3867T	15	45007729	4	4	4
Reddy_3673T	15	45007791	4	4	4
Reddy_3939T	15	45007870	4	4	4
Reddy_3673T	15	45007797	4	4	4
Reddy_2786T	15	45007801	4	4	4
Reddy_3684T	15	45007809	4	4	4
Reddy_3684T	15	45007831	4	4	4
Reddy_3485T	15	45007840	4	4	4
Reddy_2905T	15	45007845	4	4	4
Reddy_3754T	15	45007845	4	4	4
Reddy_3684T	15	45007891	5	5	5
Reddy_2841T	15	45007893	5	5	5
Reddy_3987T	15	66727424	4	4	4
Reddy_2600T	15	66727441	4	4	4
Reddy_2882T	15	66727442	4	4	4
Reddy_2577T	15	66727443	3	3	3
Reddy_2196T	15	66727453	4	4	4
Reddy_3816T	15	66727453	4	4	4
Reddy_2141T	15	66729180	4	4	4
Reddy_2161T	15	66729180	4	4	4
Reddy_3759T	15	66729180	4	4	4
Reddy_2246T	15	81591974	4	4	4
Reddy_3620T	15	81592024	4	4	4
Reddy_2152T	15	81592052	4	4	4
Reddy_2481T	15	81592186	4	4	4
Reddy_2081T	15	81592371	4	4	4
Reddy_3699T	15	81592765	4	4	4
Reddy_3649T	15	81593789	4	4	4
Reddy_2476T	15	81593811	4	4	4
Reddy_3764T	15	81600982	3	3	3
Reddy_2933T	16	10989606	4	4	4
Reddy_3716T	16	10997681	4	4	4
Reddy_2905T	16	10997683	3	3	3
Reddy_3454T	16	10997737	4	4	4
